time(millisecond),latitude,longitude,height_above_takeoff(feet),height_sonar(feet),compass_heading(degrees),roll(degrees),battery_percent,voltageCell1
196800,12.8566825593023,100.973039831069,5.905512,6.889764,289.7,-0.3,87,4.139
196900,12.8566826836438,100.973040359694,6.56168,7.217848,289.7,-0.5,87,4.139
197000,12.8566826944697,100.973040420107,6.889764,7.545932,289.6,-0.7,87,4.139
197100,12.8566829175238,100.973040066621,7.545932,8.2021,289.7,-0.7,87,4.139
197200,12.8566829234651,100.973040136963,8.2021,9.186352,289.7,-0.8,87,4.139
197300,12.8566829207583,100.973040205126,8.858268,9.84252,289.7,-0.7,87,4.139
197400,12.8566830939824,100.973039968616,9.514436,10.170604,289.8,-0.7,87,4.111
197500,12.8566830366929,100.973040080759,9.84252,10.826772,289.7,-0.6,87,4.111
197600,12.8566829745653,100.973040156488,10.170604,11.154856,289.8,-0.4,87,4.111
197700,12.8566829059109,100.973040232498,10.498688,11.48294,289.8,-0.5,87,4.111
197800,12.8566829266451,100.973040344176,10.498688,11.48294,289.8,-0.7,87,4.111
197900,12.8566829353202,100.973040394641,10.826772,11.48294,289.7,-0.6,87,4.111
198000,12.8566829237831,100.973040410555,10.826772,11.48294,289.8,-0.4,87,4.111
198100,12.8566829842423,100.973040256268,10.826772,11.48294,289.8,-0.3,87,4.111
198200,12.8566831098353,100.973039844592,10.826772,11.48294,289.8,-0.3,87,4.111
198300,12.8566832778317,100.973039228182,10.826772,11.48294,289.7,-0.2,87,4.111
198400,12.8566835026155,100.973038454365,10.826772,11.48294,290.3,-0.3,87,4.141
198500,12.856683758578,100.973037584671,10.498688,11.48294,293.9,0.7,87,4.141
198600,12.8566839487416,100.973036870045,10.826772,11.48294,298.5,1.5,87,4.141
198700,12.8566841413104,100.973036350479,10.826772,11.48294,302.9,1.9,87,4.141
198800,12.8566843259446,100.973035793392,10.826772,11.48294,305.1,1.8,87,4.141
198900,12.8566844853933,100.973035210417,10.826772,11.48294,306.1,0.6,87,4.141
199000,12.8566846419955,100.973034784849,10.826772,11.48294,308.3,-0.1,87,4.141
199100,12.8566846583719,100.97303459297,10.826772,11.48294,312.6,1.1,87,4.141
199200,12.8566847752763,100.973034297841,10.826772,11.48294,317.2,0,87,4.141
199300,12.8566850170579,100.973033784303,10.826772,11.48294,322,-1.2,87,4.141
199400,12.8566852907944,100.973033281222,10.826772,11.48294,326.7,0.2,87,4.141
199500,12.8566856428941,100.973032589277,10.826772,11.48294,331.5,1.4,87,4.132
199600,12.8566860845013,100.973032198243,10.826772,11.48294,336.2,-0.9,87,4.132
199700,12.8566866480536,100.973031772534,10.826772,11.48294,339.1,-1.2,87,4.132
199800,12.8566872549829,100.973031276053,10.826772,11.48294,340.4,-0.7,87,4.132
199900,12.8566881591837,100.973030596119,10.826772,11.48294,340.7,-0.3,87,4.132
200000,12.856689212362,100.973029964489,10.826772,11.48294,340.7,-0.5,87,4.132
200100,12.8566905347057,100.973029402103,10.826772,11.48294,340.7,-0.6,87,4.132
200200,12.8566920834773,100.973028654332,10.826772,11.48294,340.9,0.6,87,4.132
200300,12.8566938988438,100.973027683153,10.826772,11.48294,340.9,1.6,87,4.132
200400,12.8566953319136,100.973026909389,10.826772,11.48294,341.6,1.8,87,4.132
200500,12.8566965581678,100.973026262662,10.826772,11.48294,344.9,2.5,87,4.131
200600,12.8566972743624,100.973025900495,10.826772,11.48294,347,2.5,87,4.131
200700,12.8566974647144,100.973025842191,10.826772,11.48294,347.6,1.2,87,4.131
200800,12.8566975878671,100.973025897314,10.826772,11.48294,347.7,0.5,87,4.131
200900,12.8566986141484,100.973025557545,11.154856,11.48294,346.8,0.3,87,4.131
201000,12.8566994864537,100.973025331861,11.154856,11.48294,343.7,0.5,87,4.131
201100,12.8567002909767,100.973025213479,11.154856,11.48294,342.3,0,87,4.131
201200,12.8567013256851,100.973025035167,11.154856,11.48294,341.8,-0.5,87,4.131
201300,12.8567028511626,100.973024624019,11.154856,11.48294,341.9,-0.6,87,4.131
201400,12.8567046391697,100.97302418824,11.154856,11.48294,341.7,-0.6,87,4.131
201500,12.8567067209823,100.973023670634,11.154856,11.48294,341.8,-0.6,87,4.129
201600,12.8567097306171,100.973022937581,10.826772,11.48294,341.8,-0.5,87,4.129
201700,12.8567122606263,100.973022197147,10.826772,11.48294,340.6,0,87,4.129
201800,12.8567146833569,100.973021448111,10.826772,11.48294,338.6,0,87,4.129
201900,12.856717377282,100.973020600384,10.826772,11.48294,337.9,-0.4,87,4.129
202000,12.8567189282805,100.973019918342,10.826772,11.48294,337.9,-0.8,87,4.129
